PATENTE;FECHA EMISION;AÑO DEL PERMISO;TOTAL A PAGAR;TIPO PAGO;MODALIDAD PAGO;TIPO VEHICULO;CODIGO SII;CLASIFICACION;FONDO A TERCERO;COMUNA FONDO TERCERO
CZZW-54-5;10-03-2023;2023;80628;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT235011611;NORMAL;No;
DBCS-60-K;21-08-2023;2023;65456;CONTADO   ;PRESENCIAL;MINIBUS   ; ;NORMAL;No;
DBDT-35-0;24-08-2023;2023;17523;2ª Cuota  ;PAGO ONLINE;CAMIONETA ;CT176029111;NORMAL;No;
DBDT-35-0;20-03-2023;2023;17298;1ª Cuota  ;PAGO ONLINE;CAMIONETA ;CT176029111;NORMAL;No;
DBSD-56-7;10-03-2023;2023;65751;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT176023711;NORMAL;No;
DBTT-12-7;28-03-2023;2023;62523;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT132003711;NORMAL;No;
DBWH-33-3;14-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD050022611;NORMAL;No;
DCCY-13-4;30-03-2023;2023;58411;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT166005411;NORMAL;No;
DCFZ-92-1;13-03-2023;2023;62990;CONTADO   ;PRESENCIAL;STATION WA;SU176018912;NORMAL;No;
DCGW-11-1;28-03-2023;2023;67105;CONTADO   ;PRESENCIAL;CAMIONETA ;CT176020011;NORMAL;No;
DCHR-38-3;14-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;HB040000612;NORMAL;No;
DCLC-24-K;22-08-2023;2023;34158;2ª Cuota  ;PRESENCIAL;CAMIONETA ;CT166004511;NORMAL;No;
DCLC-24-K;30-03-2023;2023;33686;1ª Cuota  ;PRESENCIAL;CAMIONETA ;CT166004511;NORMAL;No;
DCVV-55-7;27-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT268000511;NORMAL;No;
DDBW-83-1;15-03-2023;2023;44108;1ª Cuota  ;PRESENCIAL;AUTOMOVIL ;SD162026111;NORMAL;No;
DDBW-83-1;01-09-2023;2023;45533;2ª Cuota  ;PAGO ONLINE;AUTOMOVIL ;SD162026111;NORMAL;No;
DDDB-20-2;15-06-2023;2023;63577;CONTADO   ;PRESENCIAL;BUS       ; ;NORMAL;No;
DDDZ-60-2;30-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD050026611;NORMAL;No;
DDFK-17-2;14-06-2023;2023;32695;CONTADO   ;PRESENCIAL;FURGON    ;CO052006111;NORMAL;No;
DDFK-17-2;14-06-2023;2022;44735;CONTADO   ;PRESENCIAL;FURGON    ;CO052006111;NORMAL;No;
DDFX-18-4;14-03-2023;2023;83468;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT243003511;NORMAL;No;
DDHD-11-2;31-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;HB229011011;NORMAL;No;
DDWL-46-3;27-03-2023;2023;41958;1ª Cuota  ;PRESENCIAL;STATION WA;SU132011811;NORMAL;No;
DDZS-12-7;16-03-2023;2023;30885;CONTADO   ;PRESENCIAL;FURGON    ;CO184009211;NORMAL;No;
DE-1716-3;05-04-2023;2023;31348;CONTADO   ;PRESENCIAL;STATION WA;SU227000490;NORMAL;No;
DF-5545-0;08-05-2023;2023;32130;CONTADO   ;PRESENCIAL;CAMIONETA ;CT176002691;NORMAL;No;
DFDH-81-0;04-04-2023;2023;76020;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT166004711;NORMAL;No;
DFGK-33-4;04-04-2023;2023;31348;CONTADO   ;PAGO ONLINE;STATION WA;SD243013612;NORMAL;No;
DFGT-74-6;03-04-2023;2023;41214;CONTADO   ;PRESENCIAL;STATION WA;SU229023811;NORMAL;No;
DFKH-21-4;03-04-2023;2023;81837;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT235011611;NORMAL;No;
DFXX-17-7;27-03-2023;2023;64317;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SU227035611;NORMAL;No;
DFYX-61-K;29-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB229011111;NORMAL;No;
DFYY-63-2;17-03-2023;2023;53928;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT079011612;NORMAL;No;
DGFR-66-1;27-03-2023;2023;93449;CONTADO   ;PAGO ONLINE;STATION WA;VN235004811;NORMAL;No;
DGGZ-43-2;19-03-2023;2023;72342;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT243003111;NORMAL;No;
DGKL-83-8;29-03-2023;2023;184705;CONTADO   ;PRESENCIAL;STATION WA;VN244000811;NORMAL;No;
DGPT-84-0;04-04-2023;2023;81947;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT050030211;NORMAL;No;
DGTH-66-7;08-03-2023;2023;76684;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT050027211;NORMAL;No;
DH-4606-K;28-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;STATION WA;SU166000291;NORMAL;No;
DH-9874-4;28-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD235004791;NORMAL;No;
DH-9874-4;28-03-2023;2022;36071;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD235004791;NORMAL;No;
DHCX-32-2;03-04-2023;2023;31348;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT050030911;NORMAL;No;
DHST-72-8;11-05-2023;2023;62450;CONTADO   ;PRESENCIAL;MINIBUS   ;VN111015511;NORMAL;No;
DHWV-50-K;31-03-2023;2023;97883;CONTADO   ;PRESENCIAL;STATION WA;SU227034712;NORMAL;No;
DHZP-56-3;15-03-2023;2023;43515;1ª Cuota  ;PRESENCIAL;STATION WA;SU079005612;NORMAL;No;
DHZP-56-3;01-09-2023;2023;44921;2ª Cuota  ;PAGO ONLINE;STATION WA;SU079005612;NORMAL;No;
DI-6015-6;25-04-2023;2023;31348;CONTADO   ;PRESENCIAL;CAMIONETA ;CT235001291;NORMAL;No;
DJ-4803-7;29-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;JEEP      ;SU059000591;NORMAL;No;
DJ-5346-4;13-03-2023;2016;6245;DUPLICADO ;PRESENCIAL;AUTOMOVIL ; ;DUPLICADO;No;
DJBD-52-0;28-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB117000612;NORMAL;No;
DJDG-98-2;20-03-2023;2023;115004;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT235013312;NORMAL;No;
DJSC-38-K;16-03-2023;2023;85707;CONTADO   ;PRESENCIAL;CAMIONETA ;CT160010012;NORMAL;No;
DJWX-53-1;03-04-2023;2023;87086;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT166004712;NORMAL;No;
DKCF-76-4;05-12-2023;2023;66970;CONTADO   ;PRESENCIAL;CAMION    ; ;NORMAL;No;
DKGF-26-4;30-03-2023;2023;115004;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT235013312;NORMAL;No;
DKGF-35-3;30-03-2023;2023;79411;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT235011512;NORMAL;No;
DKLR-17-4;06-04-2023;2023;124460;CONTADO   ;PRESENCIAL;CAMIONETA ;CT243003912;NORMAL;No;
DKPK-53-K;28-03-2023;2023;105068;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT166004312;NORMAL;No;
DKYY-20-7;27-03-2023;2023;30885;CONTADO   ;PRESENCIAL;CAMIONETA ;CT065000512;NORMAL;No;
DKZB-54-2;28-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;HB229011312;NORMAL;No;
DLBX-82-7;28-03-2023;2023;67893;CONTADO   ;PRESENCIAL;CAMIONETA ;CT176029312;NORMAL;No;
DLBY-52-1;25-04-2023;2023;68911;CONTADO   ;PRESENCIAL;CAMIONETA ;CT176029312;NORMAL;No;
DLCT-45-9;03-04-2023;2023;31348;CONTADO   ;PRESENCIAL;STATION WA;SU117001012;NORMAL;No;
DLTP-87-K;24-03-2023;2023;57306;CONTADO   ;PRESENCIAL;CAMIONETA ;CT176019512;NORMAL;No;
DLZG-65-8;08-03-2023;2023;88319;CONTADO   ;PRESENCIAL;CAMIONETA ;CT050030212;NORMAL;No;
DLZJ-29-4;11-10-2023;2023;193021;CONTADO   ;PRESENCIAL;CAMION    ; ;NORMAL;No;
DPJG-60-5;27-08-2023;2023;43458;2ª Cuota  ;PAGO ONLINE;CAMIONETA ;CT166004712;NORMAL;No;
DPJG-60-5;23-03-2023;2023;42900;1ª Cuota  ;PAGO ONLINE;CAMIONETA ;CT166004712;NORMAL;No;
DPWP-67-5;17-05-2023;2022;207064;CONTADO   ;PRESENCIAL;CAMION    ; ;NORMAL;No;
DPZP-49-3;18-10-2023;2023;105748;2ª Cuota  ;PAGO ONLINE;STATION WA;SU106003512;NORMAL;No;
DPZP-49-3;24-03-2023;2023;100846;1ª Cuota  ;PAGO ONLINE;STATION WA;SU106003512;NORMAL;No;
DRDT-55-0;19-01-2023;2022;0;CONTADO   ;PRESENCIAL;CARRO BOMB; ;GRACIA;No;
DRDT-55-0;19-01-2023;2021;0;CONTADO   ;PRESENCIAL;CARRO BOMB; ;GRACIA;No;
DRDT-55-0;19-01-2023;2020;0;CONTADO   ;PRESENCIAL;CARRO BOMB; ;GRACIA;No;
DRDT-55-0;19-01-2023;2019;0;CONTADO   ;PRESENCIAL;CARRO BOMB; ;GRACIA;No;
DRDT-55-0;19-01-2023;2018;0;CONTADO   ;PRESENCIAL;CARRO BOMB; ;GRACIA;No;
DRDT-55-0;19-01-2023;2017;0;CONTADO   ;PRESENCIAL;CARRO BOMB; ;GRACIA;No;
DRHY-21-7;21-09-2023;2023;126652;CONTADO   ;PRESENCIAL;CAMION    ; ;NORMAL;No;
DRPS-48-4;21-03-2023;2023;85707;CONTADO   ;PRESENCIAL;CAMIONETA ;CT160010012;NORMAL;No;
DRPT-79-0;11-04-2023;2022;0;CONTADO   ;PRESENCIAL;CAMION    ; ;GRACIA;No;
DRPT-79-0;11-04-2023;2021;0;CONTADO   ;PRESENCIAL;CAMION    ; ;GRACIA;No;
DRPT-79-0;11-04-2023;2020;0;CONTADO   ;PRESENCIAL;CAMION    ; ;GRACIA;No;
DRPT-79-0;06-10-2023;2023;0;CONTADO   ;PRESENCIAL;CAMION    ; ;GRACIA;No;
DRTR-56-0;28-03-2023;2023;115004;CONTADO   ;PRESENCIAL;CAMIONETA ;CT235013312;NORMAL;No;
DRYD-42-9;29-05-2023;2023;62450;CONTADO   ;PRESENCIAL;BUS       ; ;NORMAL;No;
DRZC-21-5;18-03-2023;2023;162011;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT235013413;NORMAL;No;
DRZZ-35-K;19-06-2023;2023;84063;CONTADO   ;PRESENCIAL;CAMIONETA ;CT235011512;NORMAL;No;
DSBH-59-9;29-05-2023;2023;62450;CONTADO   ;PRESENCIAL;BUS       ; ;NORMAL;No;
DSFX-57-5;20-03-2023;2023;70855;CONTADO   ;PRESENCIAL;CAMIONETA ;CT166004812;NORMAL;No;
DSFX-69-9;28-03-2023;2023;67893;CONTADO   ;PRESENCIAL;CAMIONETA ;CT176029312;NORMAL;No;
DSSV-93-3;28-03-2023;2023;67893;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT176029312;NORMAL;No;
DSTJ-18-4;03-04-2023;2023;69266;CONTADO   ;PRESENCIAL;STATION WA;SU235005712;NORMAL;No;
DSVK-11-9;16-03-2023;2023;34782;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT111003608;NORMAL;No;
DTCV-56-8;23-03-2023;2023;39479;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT176029112;NORMAL;No;
DTCV-64-9;10-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD176027712;NORMAL;No;
DTDS-65-K;31-03-2023;2023;138396;CONTADO   ;PRESENCIAL;CAMIONETA ;CT050029612;NORMAL;No;
DTPB-72-3;14-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;SD176027712;NORMAL;No;
DTSD-50-1;12-01-2023;2022;0;CONTADO   ;PRESENCIAL;CAMION    ; ;GRACIA;No;
DTSD-50-1;12-01-2023;2021;0;CONTADO   ;PRESENCIAL;CAMION    ; ;GRACIA;No;
DTSD-50-1;12-01-2023;2020;0;CONTADO   ;PRESENCIAL;CAMION    ; ;GRACIA;No;
DTSD-50-1;12-01-2023;2019;0;CONTADO   ;PRESENCIAL;CAMION    ; ;GRACIA;No;
DTVZ-25-K;31-03-2023;2023;46169;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;SD050024912;NORMAL;No;
DTWC-84-6;28-08-2023;2023;15644;2ª Cuota  ;PAGO ONLINE;AUTOMOVIL ;HB229010412;NORMAL;No;
DTWC-84-6;31-03-2023;2023;15443;1ª Cuota  ;PAGO ONLINE;AUTOMOVIL ;HB229010412;NORMAL;No;
DTZF-34-9;06-04-2023;2023;58195;CONTADO   ;PAGO ONLINE;STATION WA;SU111009212;NORMAL;No;
DVJH-47-7;22-03-2023;2023;35627;CONTADO   ;PAGO ONLINE;FURGON    ;CO052006412;NORMAL;No;
DVKZ-38-2;22-03-2023;2023;79523;CONTADO   ;PAGO ONLINE;FURGON    ;VN111014912;NORMAL;No;
DVRT-52-3;04-09-2023;2023;75130;2ª Cuota  ;PRESENCIAL;CAMIONETA ;CT235013412;NORMAL;No;
DVRT-52-3;23-03-2023;2023;72780;1ª Cuota  ;PRESENCIAL;CAMIONETA ;CT235013412;NORMAL;No;
DVWK-21-0;11-03-2023;2023;158011;CONTADO   ;PAGO ONLINE;STATION WA;SU079005312;NORMAL;No;
DVWT-25-8;27-07-2023;2023;33229;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB132004512;NORMAL;No;
DWCT-88-9;16-03-2023;2023;15443;1ª Cuota  ;PRESENCIAL;STATION WA;VN111007501;NORMAL;No;
DWCT-88-9;02-09-2023;2023;15943;2ª Cuota  ;PAGO ONLINE;STATION WA;VN111007501;NORMAL;No;
DWJJ-54-0;08-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;HB176004812;NORMAL;No;
DWJS-29-4;17-03-2023;2023;71188;CONTADO   ;PAGO ONLINE;STATION WA;SU184012512;NORMAL;No;
DWKW-45-0;17-05-2023;2023;178404;CONTADO   ;PRESENCIAL;CAMIONETA ;CT106000212;NORMAL;No;
DWZV-13-1;10-08-2023;2023;58250;2ª Cuota  ;PAGO ONLINE;CAMIONETA ;CT235013312;NORMAL;No;
DWZV-13-1;27-03-2023;2023;57502;1ª Cuota  ;PAGO ONLINE;CAMIONETA ;CT235013312;NORMAL;No;
DX-9538-1;17-08-2023;2023;33634;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD235004592;NORMAL;No;
DXFF-36-1;29-03-2023;2023;57306;CONTADO   ;PRESENCIAL;CAMIONETA ;CT176019512;NORMAL;No;
DXRP-67-5;31-03-2023;2023;46360;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB235005012;NORMAL;No;
DXTC-80-6;27-03-2023;2023;57410;CONTADO   ;PAGO ONLINE;STATION WA;SU176019712;NORMAL;No;
DXVC-48-8;22-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB111006512;NORMAL;No;
DXXJ-65-0;15-05-2023;2023;16065;1ª Cuota  ;PAGO ONLINE;AUTOMOVIL ;HB050012313;NORMAL;No;
DXYS-10-3;29-03-2023;2023;115004;CONTADO   ;PRESENCIAL;CAMIONETA ;CT235013312;NORMAL;No;
DY-9473-8;21-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;SD235004592;NORMAL;No;
DYFX-60-8;29-08-2023;2023;20775;2ª Cuota  ;PRESENCIAL;FURGON    ;CO052006712;NORMAL;No;
DYFX-60-8;17-03-2023;2023;20489;1ª Cuota  ;PRESENCIAL;FURGON    ;CO052006712;NORMAL;No;
DYKC-38-1;16-03-2023;2023;92180;CONTADO   ;PRESENCIAL;CAMIONETA ;CT050029712;NORMAL;No;
DYXL-63-1;14-03-2023;2023;145560;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT235013412;NORMAL;No;
DZBK-20-3;11-04-2023;2023;95036;CONTADO   ;PAGO ONLINE;MINIBUS PA;VN243003312;NORMAL;No;
DZFV-39-1;28-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB050011413;NORMAL;No;
DZHD-56-K;27-03-2023;2023;64062;CONTADO   ;PRESENCIAL;STATION WA;SU176018812;NORMAL;No;
DZJF-18-9;15-03-2023;2023;85799;CONTADO   ;PRESENCIAL;CAMIONETA ;CT166004712;NORMAL;No;
DZKP-23-5;05-04-2023;2023;34161;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;SD243013513;NORMAL;No;
DZZH-29-8;13-03-2023;2023;40600;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT154001912;NORMAL;No;
EE-9222-7;17-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;SD050000375;NORMAL;No;
EG-3646-7;24-03-2023;2023;30885;CONTADO   ;PRESENCIAL;FURGON    ;SD243000574;NORMAL;No;
EU-2696-6;29-09-2023;2023;126652;CONTADO   ;PRESENCIAL;CAMION    ; ;NORMAL;No;
EZ-1402-9;22-03-2023;2023;30885;CONTADO   ;PRESENCIAL;STATION WA;SD227000788;NORMAL;No;
FBBT-13-2;22-03-2023;2023;78364;CONTADO   ;PAGO ONLINE;FURGON    ;VN111014812;NORMAL;No;
FBFS-67-1;02-10-2023;2023;126652;CONTADO   ;PRESENCIAL;CAMION    ; ;NORMAL;No;
FBLZ-97-9;31-03-2023;2023;32238;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;HB229010213;NORMAL;No;
FBPB-34-0;21-11-2023;2023;38376;2ª Cuota  ;PAGO ONLINE;AUTOMOVIL ;SD235019813;NORMAL;No;
FBPB-34-0;30-03-2023;2023;35857;1ª Cuota  ;PAGO ONLINE;AUTOMOVIL ;SD235019813;NORMAL;No;
FBRY-71-0;28-08-2023;2023;23894;2ª Cuota  ;PAGO ONLINE;STATION WA;SU229023812;NORMAL;No;
FBRY-71-0;29-03-2023;2023;23587;1ª Cuota  ;PAGO ONLINE;STATION WA;SU229023812;NORMAL;No;
FBSP-74-K;31-03-2023;2023;37312;CONTADO   ;PAGO ONLINE;FURGON    ;CO184011712;NORMAL;No;
FBWY-12-7;16-03-2023;2023;147791;CONTADO   ;PAGO ONLINE;STATION WA;SU079006513;NORMAL;No;
FBYP-14-3;30-08-2023;2023;49060;2ª Cuota  ;PRESENCIAL;CAMIONETA ;CT235013212;NORMAL;No;
FBYP-14-3;31-03-2023;2023;48383;1ª Cuota  ;PRESENCIAL;CAMIONETA ;CT235013212;NORMAL;No;
FBZ-082-3;30-03-2023;2023;30885;CONTADO   ;PRESENCIAL;Moto      ;MT173004016;NORMAL;No;
FCHL-61-6;29-03-2023;2023;61993;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB160005312;NORMAL;No;
FCHL-61-6;29-03-2023;2022;88775;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB160005312;NORMAL;No;
FDDW-41-0;29-09-2023;2023;32364;2ª Cuota  ;PRESENCIAL;STATION WA;SU132012313;NORMAL;No;
FDDW-41-0;31-03-2023;2023;31353;1ª Cuota  ;PAGO ONLINE;STATION WA;SU132012313;NORMAL;No;
FDDW-55-0;31-03-2023;2023;16220;1ª Cuota  ;PAGO ONLINE;STATION WA;VN049000313;NORMAL;No;
FDFF-56-1;23-03-2023;2023;33030;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD235020213;NORMAL;No;
FDGR-97-1;11-08-2023;2023;44623;CONTADO   ;PAGO ONLINE;FURGON    ;CO052006712;NORMAL;No;
FDTB-36-8;11-03-2023;2023;272778;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT079016313;NORMAL;No;
FFBF-16-0;15-03-2023;2023;96804;CONTADO   ;PAGO ONLINE;FURGON    ;VN243003013;NORMAL;No;
FFCH-26-6;15-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB229011013;NORMAL;No;
FFCL-15-K;30-03-2023;2023;117649;CONTADO   ;PRESENCIAL;STATION WA;CO184014013;NORMAL;No;
FFRV-79-0;31-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;HB229009213;NORMAL;No;
FFSG-57-5;24-03-2023;2023;77840;CONTADO   ;PRESENCIAL;CAMIONETA ;CT176029313;NORMAL;No;
FFYV-87-4;10-03-2023;2023;176792;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT079017513;NORMAL;No;
FGJZ-68-2;31-03-2023;2023;113764;CONTADO   ;PRESENCIAL;STATION WA;SU225005713;NORMAL;No;
FGKR-99-3;28-03-2023;2023;74873;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT176030513;NORMAL;No;
FGKS-92-2;15-03-2023;2023;240444;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT079017913;NORMAL;No;
FGPJ-86-K;29-03-2023;2023;76793;CONTADO   ;PRESENCIAL;STATION WA;SU235005713;NORMAL;No;
FGZD-52-9;20-03-2023;2023;129254;CONTADO   ;PRESENCIAL;CAMIONETA ;CT235013313;NORMAL;No;
FGZX-49-4;21-03-2023;2023;107294;CONTADO   ;PRESENCIAL;CAMIONETA ;CT166006013;NORMAL;No;
FHBW-98-7;31-03-2023;2023;48079;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;SD132014713;NORMAL;No;
FHFW-58-4;21-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;HB132004213;NORMAL;No;
FHPY-94-1;29-03-2023;2023;115542;CONTADO   ;PAGO ONLINE;STATION WA;SU106003813;NORMAL;No;
FJZZ-36-4;04-09-2023;2023;103819;2ª Cuota  ;PAGO ONLINE;CAMIONETA ;CT106000213;NORMAL;No;
FJZZ-36-4;31-03-2023;2023;100570;1ª Cuota  ;PAGO ONLINE;CAMIONETA ;CT106000213;NORMAL;No;
FKLY-55-9;21-03-2023;2023;147656;CONTADO   ;PRESENCIAL;CAMIONETA ;CT160011113;NORMAL;No;
FKWJ-55-6;22-03-2023;2023;83340;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT132005013;NORMAL;No;
FKXC-16-9;31-08-2023;2023;51591;2ª Cuota  ;PRESENCIAL;CAMIONETA ;CT050032013;NORMAL;No;
FKXC-16-9;14-03-2023;2023;50880;1ª Cuota  ;PRESENCIAL;CAMIONETA ;CT050032013;NORMAL;No;
FLBH-24-7;30-03-2023;2023;107924;CONTADO   ;PAGO ONLINE;STATION WA;SU111007613;NORMAL;No;
FLCC-52-2;16-03-2023;2023;83340;CONTADO   ;PRESENCIAL;CAMIONETA ;CT132005013;NORMAL;No;
FLKX-84-5;14-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;SD050028313;NORMAL;No;
FLLB-63-K;22-03-2023;2023;101068;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT132005113;NORMAL;No;
FLWS-44-K;23-03-2023;2023;32219;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;SD132014413;NORMAL;No;
FPBD-58-1;21-08-2023;2023;82059;2ª Cuota  ;PAGO ONLINE;CAMIONETA ;CT235013413;NORMAL;No;
FPBD-58-1;28-03-2023;2023;81006;1ª Cuota  ;PAGO ONLINE;CAMIONETA ;CT235013413;NORMAL;No;
FPFZ-30-6;14-04-2023;2023;131193;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT235013313;NORMAL;No;
FPKL-79-0;13-12-2023;2022;47812;2ª Cuota  ;PRESENCIAL;STATION WA;SU079006213;NORMAL;No;
FRBS-83-1;27-03-2023;2023;40229;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD111019913;NORMAL;No;
FRGV-46-1;30-03-2023;2023;162011;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT235013413;NORMAL;No;
FRHS-73-1;06-04-2023;2023;37177;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;HB176004913;NORMAL;No;
FRWH-31-5;29-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;SD050022513;NORMAL;No;
FRWH-98-0;22-03-2023;2023;15443;1ª Cuota  ;PAGO ONLINE;STATION WA;CO146000713;NORMAL;No;
FSFF-66-9;15-03-2023;2023;162011;CONTADO   ;PRESENCIAL;CAMIONETA ;CT235013413;NORMAL;No;
FSRG-50-8;28-03-2023;2023;83635;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT166005713;NORMAL;No;
FSSB-79-6;16-03-2023;2023;218948;CONTADO   ;PRESENCIAL;STATION WA;VN244000613;NORMAL;No;
FSXH-85-4;30-03-2023;2023;88052;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT176023713;NORMAL;No;
FTFJ-92-1;17-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB229009213;NORMAL;No;
FTHY-35-K;05-04-2023;2023;131193;CONTADO   ;PRESENCIAL;CAMIONETA ;CT235013313;NORMAL;No;
FTJD-15-9;13-03-2023;2023;129254;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT235013313;NORMAL;No;
FVBF-42-4;03-04-2023;2023;31348;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB050013913;NORMAL;No;
FVCK-92-1;06-04-2023;2023;71010;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;HB160005713;NORMAL;No;
FVCL-59-6;28-03-2023;2023;45743;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB197015813;NORMAL;No;
FVJJ-80-9;02-06-2023;2023;32695;CONTADO   ;PRESENCIAL;CAMIONETA ;CT065002113;NORMAL;No;
FVRG-25-6;30-03-2023;2023;69604;CONTADO   ;PAGO ONLINE;STATION WA;SU229025913;NORMAL;No;
FWHJ-92-1;24-08-2023;2023;51591;2ª Cuota  ;PRESENCIAL;CAMIONETA ;CT050032013;NORMAL;No;
FWHJ-92-1;14-03-2023;2023;50880;1ª Cuota  ;PRESENCIAL;CAMIONETA ;CT050032013;NORMAL;No;
FWHV-53-8;29-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;HB050011413;NORMAL;No;
FWRF-91-2;26-09-2023;2023;100662;2ª Cuota  ;PAGO ONLINE;CAMIONETA ;CT106000314;NORMAL;No;
FWRF-91-2;31-03-2023;2023;97511;1ª Cuota  ;PAGO ONLINE;CAMIONETA ;CT106000314;NORMAL;No;
FWWH-61-5;25-03-2023;2023;104554;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT050030213;NORMAL;No;
FXHJ-79-9;29-03-2023;2023;95821;CONTADO   ;PAGO ONLINE;STATION WA;SU166002513;NORMAL;No;
FXJR-67-9;30-08-2023;2023;93792;2ª Cuota  ;PAGO ONLINE;CAMIONETA ;CT235013613;NORMAL;No;
FXJR-67-9;31-03-2023;2023;92588;1ª Cuota  ;PAGO ONLINE;CAMIONETA ;CT235013613;NORMAL;No;
FXSX-10-5;30-03-2023;2023;64627;1ª Cuota  ;PRESENCIAL;CAMIONETA ;CT235013313;NORMAL;No;
FXSX-10-5;19-08-2023;2023;65467;2ª Cuota  ;PAGO ONLINE;CAMIONETA ;CT235013313;NORMAL;No;
FYBS-22-7;02-10-2023;2023;63326;CONTADO   ;PRESENCIAL;CAMION    ; ;NORMAL;No;
FYDJ-70-3;18-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;HB229010413;NORMAL;No;
